"","pred","obs","BLCA","BRCA","HNSC","rowIndex","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","Resample"
"82","BLCA","HNSC",0.483752101659775,0.173782274127007,0.342465668916702,53,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"83","HNSC","HNSC",0.14878648519516,0.146855816245079,0.704357624053955,54,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"84","HNSC","HNSC",0.150734424591064,0.139466270804405,0.709799349308014,57,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"85","HNSC","HNSC",0.14459565281868,0.142462432384491,0.712941944599152,61,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"86","HNSC","HNSC",0.159079656004906,0.138095811009407,0.702824532985687,80,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"87","HNSC","HNSC",0.142866089940071,0.140758395195007,0.716375470161438,84,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"88","HNSC","HNSC",0.145382761955261,0.140345111489296,0.714272141456604,97,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"89","HNSC","HNSC",0.145382761955261,0.140345111489296,0.714272141456604,103,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"90","HNSC","HNSC",0.262367278337479,0.133243292570114,0.604389369487762,135,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"91","BRCA","BRCA",0.143836736679077,0.714018166065216,0.142145127058029,141,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"92","BRCA","BRCA",0.187073543667793,0.67795979976654,0.134966716170311,151,10,4,0.1,0,0.7,1,0.8,"Fold06.Rep1"
"93","BLCA","BLCA",0.608628988265991,0.195670306682587,0.1957006752491,6,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"94","BLCA","BLCA",0.715676963329315,0.142150491476059,0.142172545194626,18,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"95","BLCA","BLCA",0.71458113193512,0.142698347568512,0.142720490694046,24,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"96","BLCA","BLCA",0.71458113193512,0.142698347568512,0.142720490694046,34,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"97","BLCA","BLCA",0.711997866630554,0.143989890813828,0.144012242555618,40,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"98","BLCA","BLCA",0.586434423923492,0.206766754388809,0.20679883658886,42,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"99","HNSC","HNSC",0.228741407394409,0.126976490020752,0.644282102584839,55,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"100","HNSC","HNSC",0.147145450115204,0.14041006565094,0.712444484233856,67,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"101","HNSC","HNSC",0.233621224761009,0.198035135865211,0.568343639373779,77,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"102","HNSC","HNSC",0.146900057792664,0.140450462698936,0.712649464607239,89,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"103","HNSC","HNSC",0.231333047151566,0.22867040336132,0.539996564388275,98,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"104","HNSC","HNSC",0.158461108803749,0.138547122478485,0.702991843223572,110,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"105","HNSC","HNSC",0.208848834037781,0.130251511931419,0.660899698734283,122,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"106","HNSC","HNSC",0.342910379171371,0.247590810060501,0.409498780965805,130,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"107","HNSC","HNSC",0.159492284059525,0.157242447137833,0.683265328407288,133,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"108","BRCA","BRCA",0.149262741208076,0.709455728530884,0.14128153026104,149,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"109","BRCA","BRCA",0.149262741208076,0.709455728530884,0.14128153026104,153,10,4,0.1,0,0.7,1,0.8,"Fold07.Rep1"
"110","BLCA","BLCA",0.590409576892853,0.11728996783495,0.292300403118134,1,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"111","BLCA","BLCA",0.714804112911224,0.142467647790909,0.142728269100189,4,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"112","BLCA","BLCA",0.490616053342819,0.247171446681023,0.262212544679642,7,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"113","BLCA","BLCA",0.429088771343231,0.285194754600525,0.285716474056244,11,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"114","BLCA","BLCA",0.714804112911224,0.142467647790909,0.142728269100189,26,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"115","HNSC","HNSC",0.159919425845146,0.137230977416039,0.702849566936493,63,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"116","HNSC","HNSC",0.145153269171715,0.139643102884293,0.715203642845154,75,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"117","HNSC","HNSC",0.211712971329689,0.153288945555687,0.634998083114624,82,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"118","HNSC","HNSC",0.182432845234871,0.137835070490837,0.679732084274292,90,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"119","HNSC","HNSC",0.226532861590385,0.160581320524216,0.61288583278656,100,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"120","HNSC","HNSC",0.180821865797043,0.136617913842201,0.682560205459595,104,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"121","HNSC","HNSC",0.191348597407341,0.18408477306366,0.624566614627838,113,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"122","HNSC","HNSC",0.147743105888367,0.142134621739388,0.710122287273407,128,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"123","HNSC","HNSC",0.149041414260864,0.139007940888405,0.711950600147247,136,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"124","BRCA","BRCA",0.146367609500885,0.712563455104828,0.141068920493126,139,10,4,0.1,0,0.7,1,0.8,"Fold08.Rep1"
"125","BLCA","BLCA",0.581677556037903,0.188163697719574,0.230158761143684,19,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"126","BLCA","BLCA",0.709743976593018,0.140336900949478,0.149919092655182,20,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"127","HNSC","BLCA",0.346710413694382,0.156770840287209,0.496518760919571,41,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"128","BLCA","BLCA",0.624536216259003,0.152392685413361,0.223071083426476,49,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"129","BLCA","BLCA",0.559023678302765,0.142206579446793,0.29876971244812,51,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"130","HNSC","HNSC",0.172681257128716,0.136002138257027,0.691316545009613,69,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"131","HNSC","HNSC",0.170278295874596,0.136397168040276,0.693324565887451,116,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"132","HNSC","HNSC",0.163737550377846,0.137472406029701,0.698790073394775,119,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"133","HNSC","HNSC",0.25454568862915,0.133185416460037,0.612268924713135,121,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"134","HNSC","HNSC",0.232851549983025,0.149553209543228,0.617595195770264,125,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"135","HNSC","HNSC",0.160230278968811,0.138048961758614,0.701720774173737,129,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"136","HNSC","HNSC",0.165155082941055,0.137239366769791,0.697605490684509,131,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"137","HNSC","HNSC",0.145864680409431,0.140410512685776,0.713724851608276,132,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"138","BRCA","BRCA",0.135041415691376,0.668871760368347,0.196086883544922,146,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"139","BRCA","BRCA",0.130551442503929,0.646632492542267,0.222816035151482,154,10,4,0.1,0,0.7,1,0.8,"Fold09.Rep1"
"140","BLCA","BLCA",0.715613186359406,0.14217709004879,0.142209693789482,22,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"141","BLCA","BLCA",0.689231932163239,0.155366212129593,0.155401840806007,23,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"142","BLCA","BLCA",0.693011224269867,0.150542080402374,0.156446680426598,32,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"143","BLCA","BLCA",0.525122761726379,0.237411424517632,0.237465858459473,33,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"144","BLCA","BLCA",0.697843074798584,0.146297067403793,0.155859902501106,43,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"145","HNSC","HNSC",0.14395996928215,0.140180841088295,0.715859174728394,52,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"146","HNSC","HNSC",0.186525613069534,0.152732580900192,0.660741865634918,73,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"147","HNSC","HNSC",0.154871001839638,0.150805443525314,0.694323539733887,76,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"148","HNSC","HNSC",0.146902725100517,0.139698937535286,0.713398277759552,85,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"149","HNSC","HNSC",0.349705308675766,0.285923719406128,0.364371001720428,94,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"150","HNSC","HNSC",0.148728981614113,0.139399886131287,0.711871087551117,105,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"151","HNSC","HNSC",0.189078450202942,0.171004995703697,0.6399165391922,107,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"152","HNSC","HNSC",0.301080167293549,0.181895866990089,0.517023980617523,109,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"153","HNSC","HNSC",0.144437327980995,0.140102669596672,0.715460002422333,134,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"154","BRCA","BRCA",0.168743684887886,0.693257570266724,0.137998700141907,145,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
"155","BRCA","BRCA",0.145565360784531,0.71258807182312,0.141846597194672,147,10,4,0.1,0,0.7,1,0.8,"Fold10.Rep1"
